fmid,ts,status,enrolled,waitlist
350224996,2026-05-11T08:00:18+00:00,Unavailable,,
350225008,2026-05-11T08:00:18+00:00,Unavailable,,
350225019,2026-05-11T08:00:18+00:00,Unavailable,,
350225030,2026-05-11T08:00:18+00:00,Unavailable,,
350225041,2026-05-11T08:00:18+00:00,Unavailable,,
350225053,2026-05-11T08:00:18+00:00,Unavailable,,
350225064,2026-05-11T08:00:18+00:00,Unavailable,,
350225075,2026-05-11T08:00:18+00:00,Unavailable,,
350225086,2026-05-11T08:00:18+00:00,Unavailable,,
350225097,2026-05-11T08:00:18+00:00,Unavailable,,
350225108,2026-05-11T08:00:18+00:00,Unavailable,,
350225119,2026-05-11T08:00:18+00:00,Unavailable,,
350225130,2026-05-11T08:00:18+00:00,Unavailable,,
350225141,2026-05-11T08:00:18+00:00,Unavailable,,
350225163,2026-05-11T08:00:18+00:00,Unavailable,,
350225174,2026-05-11T08:00:18+00:00,Unavailable,,
350225185,2026-05-11T08:00:18+00:00,Unavailable,,
350225196,2026-05-11T08:00:18+00:00,Unavailable,,
350225207,2026-05-11T08:00:18+00:00,Unavailable,,
350225218,2026-05-11T08:00:18+00:00,Unavailable,,
350225229,2026-05-11T08:00:18+00:00,Unavailable,,
350225240,2026-05-11T08:00:18+00:00,Unavailable,,
350225251,2026-05-11T08:00:18+00:00,Unavailable,,
350225262,2026-05-11T08:00:18+00:00,Unavailable,,
350225273,2026-05-11T08:00:18+00:00,Unavailable,,
350225285,2026-05-11T08:00:18+00:00,Unavailable,,
350225296,2026-05-11T08:00:18+00:00,Unavailable,,
350225307,2026-05-11T08:00:18+00:00,Unavailable,,
350225318,2026-05-11T08:00:18+00:00,Unavailable,,
350225329,2026-05-11T08:00:18+00:00,Unavailable,,
350225341,2026-05-11T08:00:18+00:00,Unavailable,,
350225352,2026-05-11T08:00:18+00:00,Unavailable,,
350225363,2026-05-11T08:00:18+00:00,Unavailable,,
350225375,2026-05-11T08:00:18+00:00,Unavailable,,
350225387,2026-05-11T08:00:18+00:00,Unavailable,,
350225401,2026-05-11T08:00:18+00:00,Unavailable,,
350225415,2026-05-11T08:00:18+00:00,Unavailable,,
350225429,2026-05-11T08:00:18+00:00,Unavailable,,
350225443,2026-05-11T08:00:18+00:00,Unavailable,,
350225457,2026-05-11T08:00:18+00:00,Unavailable,,
350225471,2026-05-11T08:00:18+00:00,Unavailable,,
